P100ID01,WST_2007,WST_2009
101,4.444444444,5
302,1.888888889,2
702,2,2.666666667
802,3.111111111,3
1002,3.111111111,2.444444444
1202,3.222222222,3.666666667
1502,3.111111111,3.111111111
1602,2.888888889,3
1702,2.333333333,2.888888889
1802,3,2.555555556
2302,3,2
3301,1.777777778,1.444444444
3402,1.777777778,2
3702,2.444444444,2
3902,3.222222222,2.666666667
3903,3,2.888888889
3904,3,2
4002,3,4.111111111
4202,3,2.111111111
4302,2,2
4502,3.222222222,3
5502,2.222222222,2
5702,2.777777778,3
5902,4,4
6302,3.444444444,2.222222222
6801,2,2.555555556
6902,5,3.444444444
7302,3,2
7401,3.444444444,3
7702,2.222222222,1.333333333
8102,3.777777778,2.666666667
8202,2.444444444,2
8302,1.888888889,2
8502,2.666666667,2.222222222
8901,3,2
9402,3.777777778,1.555555556
9802,3.333333333,4
9803,3.222222222,4
10602,3.333333333,3
10701,3.111111111,2
10803,3,2.111111111
11502,3.222222222,2.777777778
11602,3,2.444444444
11902,1.666666667,2.666666667
12603,2.666666667,3
13302,4.555555556,2.111111111
13602,3,3.777777778
14102,2.888888889,1
15402,2,2.333333333
15602,3.111111111,3
15701,4,4
16002,2.444444444,4
17402,3.333333333,2.111111111
17902,3.777777778,3.333333333
18502,3.333333333,3
19002,2.222222222,2.333333333
19202,3.444444444,2.333333333
19701,2.777777778,3
19902,3.888888889,3
20902,2.111111111,2.222222222
21202,2.555555556,2.333333333
22402,2.888888889,3
22502,1.333333333,1
24402,2.333333333,3
25002,2.666666667,2.111111111
25102,2.222222222,5
25602,1.555555556,2
25902,2,1.555555556
26103,2.222222222,3.888888889
26402,3.333333333,1
26702,4,3
27002,1.777777778,2.444444444
27401,2.333333333,2.555555556
27501,3.666666667,3
27601,2.111111111,2.555555556
27702,3.666666667,3
27802,3.333333333,3.111111111
28002,2.444444444,2
28302,2.444444444,3
28501,2.444444444,2.888888889
28602,3.111111111,3
28901,1.888888889,2.888888889
29202,3.222222222,2
29401,1,3
31102,3,2.333333333
32502,3.333333333,3.111111111
33002,4,3
33401,3,2
35002,3,2.111111111
35702,3,2.777777778
35703,3,2.222222222
35801,3,3
36303,2,1.666666667
36304,3,3.111111111
36502,3,1.888888889
36702,3.333333333,1.777777778
36801,3,4
37002,3.555555556,2
37503,3,3.111111111
37604,3,2.888888889
38102,5,2.222222222
39203,2.888888889,3
39602,3,4
39703,3.111111111,3
40002,4,3
40302,3.666666667,3
40802,3.444444444,2
42502,2.888888889,3
42602,3.111111111,2.333333333
43202,2.333333333,3
44001,3.333333333,3
44102,2.222222222,2
44702,3.111111111,2
44802,3.444444444,2
44901,2.888888889,2.444444444
45401,3,2.777777778
46302,3,2.111111111
46402,2.777777778,2.222222222
46601,3,3
47902,2.444444444,2.555555556
48202,2.222222222,2
48602,2.222222222,2.888888889
48902,1.222222222,2
49402,2.777777778,2.888888889
49602,3,3
49702,3.444444444,3.111111111
49901,4.222222222,2.888888889
50702,4.111111111,5
51401,3.777777778,3.444444444
51802,3,2.888888889
52502,3.444444444,2.111111111
53101,2.333333333,3
53503,3,3.111111111
53601,1.333333333,2.777777778
54802,2.222222222,1.555555556
55401,2.444444444,2.666666667
56202,2.555555556,2.222222222
57502,2.222222222,2
58602,4,3
58603,2.444444444,3
58702,2.222222222,2
59102,2.555555556,3
59203,3.222222222,3
60202,1.222222222,2.777777778
61102,1.333333333,1.222222222
62402,2.888888889,3
62602,1.111111111,2.222222222
63002,1.666666667,2.555555556
64602,2.222222222,2.666666667
65302,3,3
66102,3.222222222,3
66201,2.333333333,2
66602,3.777777778,2.888888889
66801,3.222222222,3.222222222
67001,3.555555556,3
67201,4,2.888888889
67301,2.444444444,2.444444444
67501,1.666666667,3
67606,3,2
68001,2.666666667,2.444444444
68502,2.666666667,2.444444444
68802,2,2
69001,2.666666667,3
