ID	size	sales_17	sales_18
1120001	1	2262	3047
1120002	1	6514	-1
1120003	1	1532	2376
1120004	1	891	1508
1120005	1	2270	4530
1120006	1	611	-1
1120007	1	480	1224
1120008	1	1664	2302
1120009	1	7899	-1
1120010	1	724	602
1120011	1	683	525
1120012	1	20330	38240
1120013	1	2816	-1
1120014	1	1425	2302
1120015	1	-1	1104
1120016	1	1323	4556
1120017	1	777	1504
1120018	1	1134	-1
1120019	1	1822	4100
1120020	1	25560	38519
1120021	1	3372	11386
1120022	1	845	-1
1120023	1	1816	1549
1120024	1	153	503
1120025	1	2010	4722
1120026	1	3345	1880
1120027	1	1287	2466
1120028	1	7357	9332
1120029	1	2406	1305
1120030	1	566	-1
1120031	1	-1	-1
1120032	1	3118	6584
1120033	1	-1	95
1120034	1	9461	13211
1120035	1	450	1757
1120036	1	13228	6596
1120037	1	860	3457
1120038	1	6833	3075
1120039	1	1098	-1
1120040	1	726	997
1120041	1	13314	15243
1120042	1	246	562
1120043	1	3105	9805
1120044	1	4764	-1
1120045	1	1209	1334
1120046	1	1730	-1
1120047	1	1831	2577
1120048	1	764	1149
1120049	1	556	1226
1120050	1	-1	80
1120051	1	1728	-1
1120052	1	259	133
1120053	1	650	-1
1120054	1	1207	-1
1120055	1	1755	3474
1120056	1	2140	2472
1120057	1	11856	17616
1120058	1	2351	3149
1120059	1	4257	-1
1120060	1	1494	4199
1120061	1	929	1258
1120062	1	1829	2158
1120063	1	4783	7456
1120064	1	180	4701
1120065	1	460	-1
1120066	1	150	501
1120067	1	570	931
1120068	1	3973	12748
1120069	1	-1	2303
1120070	1	352	545
1120071	1	1655	1946
1120072	1	660	760
1120073	1	5932	6002
1120074	1	-1	304
1120075	1	227	1558
1120076	1	488	-1
1120077	1	5202	4698
1120078	1	1316	-1
1120079	1	-1	599
1120080	1	-1	-1
1120081	1	3638	6108
1120082	1	6575	-1
1120083	1	11014	42797
1120084	1	5589	-1
1120085	1	2724	4844
1120086	1	3186	-1
1120087	1	394	-1
1120088	1	20068	-1
1120089	1	2722	-1
1120090	1	29868	34192
1120091	1	-1	6521
1120092	1	7419	14370
1120093	1	15	-1
1120094	1	12552	10748
1120095	1	1884	1282
1120096	1	507	358
1120097	1	2298	-1
1120098	1	1092	1951
1120099	1	755	1898
1120100	1	164	-1
1120101	1	769	1508
1120102	1	2202	2347
1120103	1	9400	15906
1120104	1	1062	1418
1120105	1	-1	21
1120106	1	-1	3079
1120107	1	632	-1
1120108	1	359	590
1120109	1	-1	1711
1120110	1	428	521
1120111	1	-1	129
1120112	1	551	-1
1120113	1	1944	-1
1120114	1	1747	1539
1120115	1	807	-1
1120116	1	1078	-1
1120117	1	-1	969
1120118	1	411	-1
1120119	1	750	-1
1120120	1	50	899
1120121	1	8806	6793
1120122	1	2011	3583
1120123	1	3029	9209
1120124	1	3621	3883
1120125	1	3330	-1
1120126	1	1014	1688
1120127	1	1101	901
1120128	1	22173	30521
1120129	1	10458	20828
1120130	1	8188	14254
1120131	1	3423	2344
1120132	1	1436	8313
1120133	1	2250	-1
1120134	1	12524	19272
1120135	1	8	-1
1120136	1	-1	508
1120137	1	-1	323
1120138	1	539	1999
1120139	1	5514	6668
1120140	1	1824	1493
1120141	1	121	275
1120142	1	4171	8573
1120143	1	-1	2139
1120144	1	1034	130
1120145	1	-1	728
1120146	1	1195	5016
1120147	1	1017	672
1120148	1	442	868
1120149	1	3794	6026
1120150	1	117	1153
1120151	1	4630	4341
1120152	1	32	301
1120153	1	1487	2300
1120154	1	12620	6696
1120155	1	11788	13940
1120156	1	1608	-1
1120157	1	1089	1620
1120158	1	52	1259
1120159	1	2625	-1
1120160	1	2951	3517
1120161	1	1050	2176
1120162	1	1436	-1
1120163	1	221	1605
1120164	1	12185	13178
1120165	1	1624	1342
1120166	1	891	-1
1120167	1	1609	862
1120168	1	990	1114
